Date,Open,High,Low,Close,Volume,VIX,IV
2023-06-21 00:00:00-04:00,120.92537601198829,122.67972522451016,120.71273745513386,122.40504455566406,1359800,18.0,0.18
2023-06-22 00:00:00-04:00,123.1138397911504,123.33534724436215,121.69620020244031,121.82024383544922,1288300,13.199999809265137,0.13199999809265137
2023-06-23 00:00:00-04:00,122.27213738680679,122.99868846075653,121.16459991047702,121.35952758789062,3228900,12.90999984741211,0.1290999984741211
2023-06-26 00:00:00-04:00,121.3329383573894,121.86454819294023,119.52542976518339,120.84561920166016,1674000,13.4399995803833,0.134399995803833
2023-06-27 00:00:00-04:00,120.83677921962449,122.55567963247587,120.57096750799109,122.5113754272461,1292600,14.25,0.1425
2023-06-28 00:00:00-04:00,122.0417568057344,122.05061223715606,120.03932068554214,121.35065460205078,1254600,13.739999771118164,0.13739999771118164
2023-06-29 00:00:00-04:00,120.94310235670189,122.01520467060325,120.36718822956826,121.52788543701172,1232500,13.430000305175781,0.13430000305175782
2023-06-30 00:00:00-04:00,121.87342408073243,122.58225075488431,121.52787293604823,122.3252944946289,1593700,13.539999961853027,0.13539999961853028
2023-07-03 00:00:00-04:00,121.24435029835126,122.21011982006922,120.60640757287344,121.81140899658203,1012100,13.59000015258789,0.13590000152587892
2023-07-05 00:00:00-04:00,121.90003401681008,122.25444068157985,121.16462734365257,121.95319366455078,1847300,13.569999694824219,0.1356999969482422
2023-07-06 00:00:00-04:00,121.36838574424351,122.1746762898444,120.79247165152566,122.15695190429688,1672800,14.180000305175781,0.1418000030517578
2023-07-07 00:00:00-04:00,121.43041441112406,121.47471861514863,119.66720984100768,119.93302154541016,1610100,15.4399995803833,0.154399995803833
2023-07-10 00:00:00-04:00,120.38487657994459,121.27090646811904,119.47226687670437,119.77351379394531,1717200,14.829999923706055,0.14829999923706055
2023-07-11 00:00:00-04:00,119.92418405884403,120.05708317106082,118.80777743723526,119.80014038085938,1305500,15.069999694824219,0.15069999694824218
2023-07-12 00:00:00-04:00,119.71150832406374,119.84440741004134,118.92294220119344,119.31279754638672,1800900,14.84000015258789,0.1484000015258789
2023-07-13 00:00:00-04:00,119.77351972409937,119.77351972409937,118.71915546155299,119.41911315917969,1097300,13.539999961853027,0.13539999961853028
2023-07-14 00:00:00-04:00,119.48998568512319,119.97730480483162,118.90520274147306,119.72921752929688,1319300,13.609999656677246,0.13609999656677246
2023-07-17 00:00:00-04:00,119.7026394942008,119.94185782218662,118.82546506569118,119.20645141601562,1059100,13.34000015258789,0.13340000152587891
2023-07-18 00:00:00-04:00,119.03812093311757,120.0570498970402,118.50649759209688,118.63939666748047,1363600,13.479999542236328,0.1347999954223633
