Date,Open,High,Low,Close,Volume,VIX,IV
2023-06-21 00:00:00-04:00,211.8300018310547,212.99000549316406,209.38999938964844,212.0800018310547,5356400,18.0,0.18
2023-06-22 00:00:00-04:00,205.61000061035156,208.5,203.64999389648438,205.61000061035156,7057500,13.199999809265137,0.13199999809265137
2023-06-23 00:00:00-04:00,204.02000427246094,205.61000061035156,202.5500030517578,205.41000366210938,6338200,12.90999984741211,0.1290999984741211
2023-06-26 00:00:00-04:00,206.11000061035156,207.08999633789062,204.66000366210938,205.5800018310547,3444900,13.4399995803833,0.134399995803833
2023-06-27 00:00:00-04:00,206.14999389648438,209.66000366210938,206.0800018310547,209.42999267578125,4465500,14.25,0.1425
2023-06-28 00:00:00-04:00,211.2100067138672,212.19000244140625,209.4499969482422,210.72000122070312,4276100,13.739999771118164,0.13739999771118164
2023-06-29 00:00:00-04:00,211.1199951171875,213.22000122070312,210.22999572753906,211.8300018310547,3443600,13.430000305175781,0.13430000305175782
2023-06-30 00:00:00-04:00,213.13999938964844,213.24000549316406,209.3800048828125,211.16000366210938,5488700,13.539999961853027,0.13539999961853028
2023-07-03 00:00:00-04:00,210.5,212.1699981689453,210.24000549316406,210.9199981689453,2143000,13.59000015258789,0.13590000152587892
2023-07-05 00:00:00-04:00,210.0,214.27999877929688,207.88999938964844,213.30999755859375,4921000,13.569999694824219,0.1356999969482422
2023-07-06 00:00:00-04:00,212.47999572753906,213.61000061035156,209.5800018310547,212.6199951171875,4674700,14.180000305175781,0.1418000030517578
2023-07-07 00:00:00-04:00,212.94000244140625,215.66000366210938,211.8300018310547,212.10000610351562,4893600,15.4399995803833,0.154399995803833
2023-07-10 00:00:00-04:00,211.83999633789062,213.58999633789062,211.22000122070312,213.30999755859375,3497100,14.829999923706055,0.14829999923706055
2023-07-11 00:00:00-04:00,212.9199981689453,218.97999572753906,211.35000610351562,218.75999450683594,7451400,15.069999694824219,0.15069999694824218
2023-07-12 00:00:00-04:00,219.50999450683594,221.55999755859375,216.9199981689453,217.11000061035156,5123200,14.84000015258789,0.1484000015258789
2023-07-13 00:00:00-04:00,218.1300048828125,218.89999389648438,216.3000030517578,216.85000610351562,4291700,13.539999961853027,0.13539999961853028
2023-07-14 00:00:00-04:00,217.0,217.02000427246094,212.80999755859375,213.1199951171875,4294800,13.609999656677246,0.13609999656677246
2023-07-17 00:00:00-04:00,212.5,214.22999572753906,211.74000549316406,211.8699951171875,3621500,13.34000015258789,0.13340000152587891
