Date,Open,High,Low,Close,Volume,VIX,IV
2023-06-21 00:00:00-04:00,95.45749509514422,95.51215454085816,93.41679469826502,95.056640625,2440000,18.0,0.18
2023-06-22 00:00:00-04:00,96.67828249657633,97.40710064054021,93.9725285425739,96.08611297607422,5027900,13.199999809265137,0.13199999809265137
2023-06-23 00:00:00-04:00,95.79457270422503,96.14987298329433,94.0089590848898,94.883544921875,8097900,12.90999984741211,0.1290999984741211
2023-06-26 00:00:00-04:00,94.75601146668225,98.00838071070692,94.57380172086269,97.66218566894531,2477100,13.4399995803833,0.134399995803833
2023-06-27 00:00:00-04:00,98.29080761464115,99.73934570843167,97.6621960880347,99.32026672363281,3855000,14.25,0.1425
2023-06-28 00:00:00-04:00,99.31112493752268,100.16748619233356,98.51852838887001,99.83951568603516,3539900,13.739999771118164,0.13739999771118164
2023-06-29 00:00:00-04:00,99.48423407059948,101.96223082586498,99.01050266766488,101.92578887939453,2783000,13.430000305175781,0.13430000305175782
2023-06-30 00:00:00-04:00,103.31057002756557,104.24892769586396,102.33577040751103,103.73875427246094,4068100,13.539999961853027,0.13539999961853028
2023-07-03 00:00:00-04:00,103.62941321198161,105.24192937469063,102.80037457000229,104.97773742675781,1568800,13.59000015258789,0.13590000152587892
2023-07-05 00:00:00-04:00,104.74999812462947,105.91611280384592,103.91184711717489,105.0415267944336,3057900,13.569999694824219,0.1356999969482422
2023-07-06 00:00:00-04:00,103.22855294744986,104.63153652765362,102.38129685520312,104.3035659790039,2248100,14.180000305175781,0.1418000030517578
2023-07-07 00:00:00-04:00,103.85716768188563,104.72264129899851,103.2923279519295,103.67496490478516,2007700,15.4399995803833,0.154399995803833
2023-07-10 00:00:00-04:00,103.61120054527761,104.4220147765639,103.12834994578486,103.86628723144531,1974800,14.829999923706055,0.14829999923706055
2023-07-11 00:00:00-04:00,104.6042084570238,106.85444816496886,103.98470929431257,106.06185150146484,2653400,15.069999694824219,0.15069999694824218
2023-07-12 00:00:00-04:00,107.64706146248642,107.91125344055469,106.77246855008623,107.2735366821289,2831900,14.84000015258789,0.1484000015258789
2023-07-13 00:00:00-04:00,107.8474692077876,108.00234921730772,106.28961249308249,107.7654800415039,1935900,13.539999961853027,0.13539999961853028
2023-07-14 00:00:00-04:00,107.054889753815,108.10257322187383,106.69047720615222,107.75637817382812,2027400,13.609999656677246,0.13609999656677246
2023-07-17 00:00:00-04:00,107.50128904562605,108.56718998920778,106.68136256956662,107.6926040649414,1986700,13.34000015258789,0.13340000152587891
2023-07-18 00:00:00-04:00,107.87480921303116,108.05701199968404,105.333040720856,106.87267303466797,3427400,13.479999542236328,0.1347999954223633
2023-07-19 00:00:00-04:00,107.53772938125461,111.22738804228001,107.53772938125461,110.38924407958984,2569500,13.300000190734863,0.13300000190734862
2023-07-20 00:00:00-04:00,109.5966559391404,109.7788587335655,107.30086180607427,108.19367218017578,3009300,13.760000228881836,0.13760000228881836
2023-07-21 00:00:00-04:00,108.52162637008234,110.30723989784016,108.14810166219213,109.4599838256836,2933200,13.989999771118164,0.13989999771118164
2023-07-24 00:00:00-04:00,110.02482764162485,112.24773776436253,109.55109622970228,112.1657485961914,2668500,13.600000381469727,0.13600000381469726
